film_name,star,ranking,comment_num,year,direct,film_eng_name,quote,poster,genre
飞越疯人院,9.0,40,280366人评价,,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,
                            1975 / 美国 / 剧情
                        ", / One Flew Over the Cuckoo's Nest,自由万岁。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792238287.jpg,
"海豚湾,[可播放]",9.3,41,183280人评价,,"
                            导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...,
                            2009 / 美国 / 纪录片
                        ", / The Cove,海豚的微笑，是世界上最高明的伪装。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455222172.jpg,
"闻香识女人,[可播放]",8.9,42,324800人评价,,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,
                            1992 / 美国 / 剧情
                        ", / Scent of a Woman,史上最美的探戈。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p925123037.jpg,
"V字仇杀队,[可播放]",8.8,43,420315人评价,,"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...,
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
                        ", / V for Vendetta,一张面具背后的理想与革命。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1465235231.jpg,
"哈尔的移动城堡,[可播放]",8.9,44,352422人评价,,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,
                            2004 / 日本 / 爱情 动画 奇幻 冒险
                        ", / ハウルの動く城,带着心爱的人在天空飞翔。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2174346180.jpg,
"教父2,[可播放]",9.1,45,188379人评价,,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,
                            1974 / 美国 / 剧情 犯罪
                        ", / The Godfather: Part Ⅱ,优雅的孤独。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2194138787.jpg,
"控方证人,[可播放]",9.6,46,89120人评价,,"
                            导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...,
                            1957 / 美国 / 剧情 犯罪 悬疑
                        ", / Witness for the Prosecution,比利·怀德满分作品。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1505392928.jpg,
"美丽心灵,[可播放]",8.9,47,307155人评价,,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...,
                            2001 / 美国 / 传记 剧情
                        ", / A Beautiful Mind,爱是一切逻辑和原由。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1665997400.jpg,
"指环王2：双塔奇兵,[可播放]",8.9,48,272498人评价,,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ", / The Lord of the Rings: The Two Towers,承前启后的史诗篇章。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p909265336.jpg,
"指环王1：魔戒再现,[可播放]",8.9,49,304534人评价,,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ", / The Lord of the Rings: The Fellowship of the Ring,传说的开始。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1354436051.jpg,
"死亡诗社,[可播放]",8.9,50,279634人评价,,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,
                            1989 / 美国 / 剧情
                        ", / Dead Poets Society,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824340.jpg,
情书,8.8,51,377093人评价,,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,
                            1995 / 日本 / 剧情 爱情
                        ", / Love Letter,暗恋的极致。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p449897379.jpg,
"辩护人,[可播放]",9.1,52,204919人评价,,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,
                            2013 / 韩国 / 剧情
                        ", / 변호인,电影的现实意义大过电影本身。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2158166535.jpg,
"天使爱美丽,[可播放]",8.7,53,484450人评价,,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...,
                            2001 / 法国 德国 / 喜剧 爱情
                        ", / Le fabuleux destin d'Amélie Poulain,法式小清新。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p803896904.jpg,
